"id" "father" "mother" "generation" "sex"
"456" 456 409 435 10 1
"457" 457 405 427 10 2
"458" 458 413 429 10 1
"459" 459 407 444 10 1
"460" 460 411 430 10 1
"461" 461 401 445 10 1
"462" 462 416 443 10 1
"463" 463 411 427 10 1
"464" 464 418 442 10 1
"465" 465 418 443 10 1
"466" 466 419 432 10 1
"467" 467 414 445 10 1
"468" 468 402 440 10 1
"469" 469 416 433 10 1
"470" 470 411 435 10 1
"471" 471 405 440 10 2
"472" 472 408 443 10 1
"473" 473 413 442 10 2
"474" 474 405 433 10 2
"475" 475 411 433 10 2
"476" 476 401 438 10 2
"477" 477 416 438 10 2
"478" 478 410 434 10 2
"479" 479 401 444 10 2
"480" 480 408 428 10 2
"481" 481 414 440 10 2
"482" 482 413 440 10 2
"483" 483 418 442 10 2
"484" 484 410 442 10 2
"485" 485 419 437 10 2
"486" 486 415 443 10 2
"487" 487 401 427 10 2
"488" 488 418 438 10 2
"489" 489 404 436 10 2
"490" 490 402 442 10 2
"491" 491 409 426 10 2
"492" 492 414 438 10 2
"493" 493 404 437 10 2
"494" 494 416 441 10 2
"495" 495 403 444 10 2
"496" 496 412 427 10 1
"497" 497 414 433 10 1
"498" 498 401 443 10 2
"499" 499 414 429 10 1
"500" 500 410 427 10 1
"501" 501 454 483 11 1
"502" 502 467 477 11 1
"503" 503 452 486 11 1
"504" 504 464 480 11 1
"505" 505 464 488 11 1
"506" 506 458 494 11 1
"507" 507 453 489 11 1
"508" 508 460 494 11 1
"509" 509 464 481 11 1
"510" 510 464 489 11 1
"511" 511 465 484 11 1
"512" 512 470 482 11 1
"513" 513 466 480 11 1
"514" 514 468 488 11 2
"515" 515 469 484 11 1
"516" 516 455 477 11 1
"517" 517 461 489 11 1
"518" 518 454 484 11 1
"519" 519 458 491 11 1
"520" 520 470 492 11 1
"521" 521 458 486 11 1
"522" 522 455 495 11 1
"523" 523 465 480 11 2
"524" 524 470 495 11 1
"525" 525 470 493 11 1
"526" 526 464 479 11 2
"527" 527 458 485 11 2
"528" 528 464 490 11 2
"529" 529 460 489 11 2
"530" 530 460 482 11 2
"531" 531 454 479 11 2
"532" 532 463 483 11 2
"533" 533 456 485 11 2
"534" 534 470 491 11 2
"535" 535 461 478 11 2
"536" 536 461 493 11 2
"537" 537 460 491 11 2
"538" 538 466 488 11 2
"539" 539 460 491 11 2
"540" 540 462 490 11 2
"541" 541 466 479 11 2
"542" 542 464 480 11 2
"543" 543 465 489 11 2
"544" 544 456 481 11 2
"545" 545 453 487 11 2
"546" 546 453 493 11 2
"547" 547 459 490 11 1
"548" 548 467 477 11 2
"549" 549 464 494 11 2
"550" 550 465 484 11 1
"551" 551 510 538 12 1
"552" 552 510 542 12 1
"553" 553 519 531 12 1
"554" 554 511 529 12 1
"555" 555 516 545 12 1
"556" 556 515 538 12 1
"557" 557 505 535 12 1
"558" 558 505 526 12 1
"559" 559 507 544 12 1
"560" 560 519 531 12 1
"561" 561 518 537 12 1
"562" 562 504 535 12 1
"563" 563 502 535 12 1
"564" 564 509 538 12 1
"565" 565 517 539 12 1
"566" 566 505 541 12 1
"567" 567 503 543 12 1
"568" 568 507 531 12 1
"569" 569 508 535 12 1
"570" 570 517 532 12 1
"571" 571 518 533 12 2
"572" 572 513 536 12 1
"573" 573 520 528 12 2
"574" 574 505 533 12 1
"575" 575 507 534 12 1
"576" 576 501 528 12 2
"577" 577 519 529 12 2
"578" 578 517 533 12 2
"579" 579 510 543 12 2
"580" 580 517 533 12 2
"581" 581 501 538 12 2
"582" 582 515 541 12 2
"583" 583 515 539 12 2
"584" 584 519 537 12 2
"585" 585 507 531 12 2
"586" 586 519 535 12 2
"587" 587 515 535 12 2
"588" 588 505 540 12 2
"589" 589 516 543 12 2
"590" 590 508 529 12 2
"591" 591 511 527 12 2
"592" 592 505 529 12 2
"593" 593 508 542 12 2
"594" 594 506 541 12 2
"595" 595 505 532 12 2
"596" 596 511 534 12 1
"597" 597 512 536 12 1
"598" 598 505 539 12 1
"599" 599 506 530 12 2
"600" 600 510 544 12 2
"601" 601 556 590 13 2
"602" 602 552 581 13 1
"603" 603 570 579 13 2
"604" 604 555 589 13 1
"605" 605 568 582 13 1
"606" 606 569 578 13 1
"607" 607 562 591 13 2
"608" 608 557 577 13 1
"609" 609 569 584 13 1
"610" 610 559 576 13 1
"611" 611 561 590 13 1
"612" 612 554 590 13 1
"613" 613 562 586 13 1
"614" 614 559 578 13 1
"615" 615 567 579 13 1
"616" 616 562 582 13 1
"617" 617 567 580 13 2
"618" 618 564 584 13 1
"619" 619 568 582 13 1
"620" 620 553 591 13 2
"621" 621 555 586 13 2
"622" 622 563 595 13 1
"623" 623 554 577 13 2
"624" 624 558 588 13 2
"625" 625 556 590 13 1
"626" 626 552 581 13 1
"627" 627 565 584 13 2
"628" 628 566 593 13 1
"629" 629 566 580 13 1
"630" 630 562 580 13 2
"631" 631 553 584 13 1
"632" 632 551 583 13 2
"633" 633 563 581 13 2
"634" 634 566 587 13 2
"635" 635 564 592 13 1
"636" 636 552 580 13 1
"637" 637 563 588 13 2
"638" 638 554 577 13 2
"639" 639 558 583 13 2
"640" 640 558 580 13 2
"641" 641 553 592 13 2
"642" 642 568 594 13 1
"643" 643 567 576 13 1
"644" 644 564 585 13 1
"645" 645 557 586 13 2
"646" 646 562 594 13 2
"647" 647 569 580 13 2
"648" 648 568 586 13 2
"649" 649 558 593 13 2
"650" 650 560 593 13 2
